Blocks,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
0,8935.129999,11324.84675,36744.68701,1488415,7680.53421,541483.28,3851.421
1,5707.7165,7418.678597,27611.164,1379264,5653.453131,354889.084,2348.056
2,5061.0445,6997.7263,27750.119,1473126,5759.866828,334956.914,1929.238
3,6316.408,8276.083952,30427.824,1414024,6297.255196,395851.613,2478.5
4,6556.7775,8483.024968,29363.04,1407522,6128.348046,405681.451,2684.672
5,7208.163501,9321.90311,31854.844,1469603,6848.756876,445707.625,2909.202
6,7194.0405,9747.884311,35205.72099,1569708,7714.708046,466206.954,2696.829
7,6236.557,8268.921157,29897.819,1575093,6380.309015,395474.407,2413.115
8,6945.145,9102.5165,32106.501,1520548,6718.941126,435320.134,2982.887001
9,6798.6675,8887.818659,31188.771,1564772,6558.223104,425387.853,2652.876
10,6437.285501,8571.884064,32286.85699,1591137,6797.286044,410165.912,2469.727
11,5464.5155,7357.436534,29019.636,1576230,6008.348189,351695.509,2125.305
12,6136.846,8238.674639,31558.205,1602153,6812.994752,393909.163,2174.122
13,5240.178,6964.030465,27331.156,1580211,5666.511542,333070.512,1970.775
14,4911.6815,6745.51149,26247.45,1519183,5502.598329,322845.81,2112.239
15,5036.3315,6742.852661,25003.54299,1491061,5327.122749,322682.541,1997.239001
16,4642.621999,6535.777912,27452.38701,1523090,5662.77336,312586.716,1908.766
17,6081.619499,7680.846521,26552.489,1580955,5510.51229,367559.985,2428.809
18,5812.0805,8032.844298,32355.214,1730525,6939.172959,384121.478,2117.503
19,4168.843,5771.919101,24456.415,1631210,5014.878271,276099.573,1590.288
20,5634.746,7835.134578,30823.64901,1593832,6547.436895,374824.763,2287.911
21,4213.981,6125.722793,26448.50299,1427168,5665.739754,292911.675,1427.552
22,5614.5985,7860.577271,32939.95799,1567556,6901.100194,375781.46,2000.157
23,5252.779,7024.43461,26704.302,1544447,5562.463013,336045.941,2258.651
24,3853.4855,5649.602974,24996.777,1438263,5320.250738,270030.284,1298.112
25,4499.365,6609.49055,28642.32199,1605055,6193.370753,316052.751,1533.177
26,5686.5255,8351.452496,33819.88701,1727014,7618.961236,399324.319,1977.16
27,5881.6585,8156.954452,30941.26499,1617275,6925.950166,390312.695,2048.543
28,5723.912499,8282.184968,33822.506,1670870,7373.594457,395865.695,2267.218
29,5029.336001,6831.94806,27295.081,1541451,5582.46982,326770.413,2030.3
30,4213.451999,5498.085993,21426.117,1501730,4440.655516,262647.15,1592.67
31,5404.223,7218.289429,27148.462,1576718,5541.561509,345568.483,2357.71
32,5912.519,8022.091112,31132.70899,1521232,6754.480532,383636.845,1983.509
33,5274.009,6893.889954,26485.968,1528508,5370.998459,329599.591,2116.192
34,5446.955,7274.520975,26950.764,1537365,5917.236488,347568.107,1964.763
35,5056.99,6700.607203,27148.573,1522290,5517.671291,320456.896,1923.719
36,5475.764,7048.145613,26662.826,1521543,5666.980657,336822.779,1858.584
37,5113.8525,6907.549527,27854.799,1559088,5680.316149,330454.855,1907.632
38,5277.705,7323.743168,28866.41999,1526182,6289.589938,350315.989,1781.427
39,4528.4345,6155.855767,24722.008,1501948,5126.433601,294252.177,1749.06
40,4917.3675,6769.633291,26584.735,1544414,5711.793389,323717.654,1930.806
41,4380.5975,5824.495303,24083.30299,1536603,4848.374612,278627.176,1720.158
42,4840.028,6163.917507,24512.244,1617007,4761.315269,294844.786,1852.781
43,4921.7775,6450.027485,25450.561,1587531,5167.450798,308525.412,1773.818
44,4428.1095,5705.43429,23280.829,1648808,4566.315774,272900.136,1668.047
45,5270.195,6785.697208,25714.209,1697922,5269.549362,324805.742,1950.306
46,5107.752,7033.633738,29090.35899,1607203,5938.928335,336229.272,1956.555
47,4742.4195,6355.393321,24997.855,1540653,5095.800464,303999.657,1977.394
48,4672.592,5816.014738,22014.02,1548497,4296.559282,278144.112,1885.848
49,5282.8935,6793.250879,27087.63299,1579421,5321.328832,324444.282,1929.012
50,4954.1535,6301.401745,24364.897,1514153,4780.89879,301437.228,1831.368
51,4344.614,5665.080658,22952.68299,1484772,4661.520051,270950.491,1463.594
52,5498.299,7060.163634,26307.732,1517439,5548.555438,337691.046,1709.885
53,3926.51,4892.970125,18564.183,1475686,3770.805585,233878.293,1333.819
54,4978.535501,6258.37661,21852.77101,1526315,4377.306687,299144.195,2113.180999
55,5788.534499,7348.158425,27518.67001,1505982,5449.938982,351208.748,2408.640001
56,4824.5735,6572.626121,27022.175,1480031,5410.973013,314635.124,1974.321
57,4179.1345,5911.253352,25486.002,1435569,5228.828288,282754.844,1491.983
58,4723.0085,6528.205856,25960.926,1371663,5541.274663,312145.308,1720.989
59,4474.6725,6038.400078,24700.13599,1425772,5011.275508,289009.425,1630.648
60,5056.9245,6628.050529,24997.389,1501082,5178.342429,317182.367,1807.156
61,5187.6475,6994.458058,27757.727,1562776,5799.76773,334696.369,1694.843
62,4801.919001,6250.815026,23999.766,1520733,4845.949107,299146.691,1789.405999
63,4400.4565,6002.229468,25106.81599,1339779,5036.614764,287092.656,1641.476
64,5210.1905,7066.167956,27702.22,1300527,5791.883147,337832.396,1820.42
65,5745.685,7325.145362,26449.646,1438227,5408.820981,350365.421,2154.255
66,6536.5625,8499.079697,30526.19799,1433641,6352.943148,406728.88,2532.895
67,5181.5675,6810.946787,25618.698,1355721,5203.118972,325729.812,2056.071
68,4491.446,5950.140542,23223.714,1392306,4760.790558,284866.394,1608.761
69,4751.1635,6422.229169,25512.442,1395060,5244.733823,307198.014,1852.054
70,4828.6585,6480.278393,26591.78099,1399073,5410.734019,309094.485,1858.24
71,4615.287001,7093.740856,35332.28802,1378517,7453.122649,338349.163,1475.466
72,5132.133,6789.267866,27625.125,1540903,5615.154488,324403.163,1816.59
73,5712.522,7003.545883,26510.093,1570700,5229.823974,334890.069,2078.271
74,5193.2755,6685.305228,25638.932,1548890,5245.113297,319878.275,1776.635
75,4873.8315,6627.737846,27163.701,1515210,5615.325957,317194.957,1698.847
76,4352.914,5728.626751,23041.983,1480764,4748.658024,274119.649,1528.261
77,4313.412,5984.038827,25549.32401,1449659,5185.676144,285935.991,1501.495
78,4668.615,6277.069726,25322.675,1404227,5092.943987,300324.588,1778.869
79,4813.0215,6388.262218,25149.97001,1347571,5080.38748,305679.644,1866.462
80,4680.1875,6075.843964,22878.75,1366064,4587.689967,290760.608,1867.174
81,5046.803,6628.382077,25339.222,1434451,5157.458986,317251.386,1919.737
82,4562.6415,6010.661617,25300.33799,1361691,4968.739355,287515.327,1703.209
